Bill Adair
Bill Armour
Frank Bancroft
Al Barlick
Ed Barrow
Cool Papa Bell
Hugo Bezdek
John Bickerton
Freeman Brown
Ray Brown
Al Buckenberger
Morgan Bulkeley
Watch Burnham
Ormond Butler
Charlie Byrne
Joe Cantillon
Alexander Cartwright
Ollie Caylor
Henry Chadwick
Happy Chandler
Oscar Charleston
Nestor Chylak
Tommy Connolly
Andy Cooper
Joe Cross
Ed Curtis
Charlie Cushman
Ray Dandridge
Mordecai Davidson
John Day
Leon Day
Harry Diddlebock
Martin Dihigo
Barney Dreyfuss
Charlie Ebbets
Billy Evans
Wally Fessenden
Horace Fogel
Bill Foster
Rube Foster
George Frazer
Ford Frick
Judge Fuchs
John Gaffney
Josh Gibson
Jim Gifford
Warren Giles
Hugh Gilgan
Mase Graffen
Frank Grant
Charlie Hackett
Will Harridge
Jim Hart
Louie Heilbroner
Bill Henderson
Ed Hengel
Walter Hewett
Pete Hill
Vedie Himsl
Fred Hoey
Cal Hubbard
George Huff
William Hulbert
Tim Hurst
William Hyndman
Ban Johnson
Judy Johnson
Johnny Keane
Jim Kennedy
Bill Klem
Jack Krol
Karl Kuehl
Bowie Kuhn
Kenesaw Landis
Bob Leadley
Buck Leonard
Pop Lloyd
Biz Mackey
Larry MacPhail
Lee MacPhail
Effa Manley
Jack McCallister
Joe McCarthy
John McCloskey
Mel McGaha
Bill McGowan
Denny McKnight
George McManus
Jose Mendez
Felix Moses
Billy Murray
Jim Mutrie
Walter O'Malley
Paul Owens
Danny Ozark
Lou Phelan
Horace Phillips
Lefty Phillips
Alex Pompez
Eddie Popowski
Cum Posey
Pat Powers
Jim Price
Vern Rapp
Cal Ripken
Stan Robison
Bullet Rogan
Pants Rowland
Jacob Ruppert
Louis Santop
Eddie Sawyer
Mike Scanlon
Gus Schmelz
Frank Selee
Bill Sharsig
Larry Shepard
Bill Shettsline
Lew Simmons
Hilton Smith
Chubby Snyder
Harry Spence
Turkey Stearnes
Pat Sullivan
Mule Suttles
Ben Taylor
George Taylor
Andrew Thompson
Jack Tighe
Cristobal Torriente
Bill Veeck
Chris Von Der Ahe
Mike Walsh
John Waltz
Harvey Watkins
Earl Weaver
George Weiss
Willie Wells
Sol White
J. L. Wilkinson
Jimmy Williams
Smokey Joe Williams
Jud Wilson
Al Wright
Tom Yawkey
Nick Young
